2026-04-21 17:48:29 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564852KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:35 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564904KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:41 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565192KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:47 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564876KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:53 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564996KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:59 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564908KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:05 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564964KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:11 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565124KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:17 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565312KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:23 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565140KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:29 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565196KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:35 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565152KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:41 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565300KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:47 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565240KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:53 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565188KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:49:59 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565188KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:05 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565188KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:11 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565172KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:17 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565188KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:23 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565196KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:30 | PID=4672 | NAME=code | CPU=1.00% (limit 80.00) | MEM=565224KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:36 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=565212KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:42 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565312KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:48 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565224KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:50:54 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565260KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:51:00 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565340KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
